Timestamp,v,message,name,discordID
9/28/2022 8:29:40,Enna,"Hi Enna, I often have your streams in the background while I work on something else and you never fail to make me laugh. I really love your singing as well, they're really beautiful",Kyzo,Kyzo#9850
9/28/2022 8:31:58,Nina,"Nina, I really like your comforting voice and how supportive and caring you are to other livers. While I can't catch up to your stream, the VODs are always a worth to watch",Kyzo,Kyzo#9850
9/28/2022 8:38:01,Reimu,"Reimu, I really love your horror game streams because for some reason I never get scared if I was watching your stream lmao. Thank you very much for the fun experiences ! ",Kyzo,Kyzo#9850
9/28/2022 14:51:00,Enna,"Finding you is the highlight of my year. You are by far the most entertaining and the best singer I have ever come across, your hard work is made clearly visible in each stream. Thank you to all the clippers for introducing all the amazing talents to us and especially Enna to me! Thank you Enna for putting in so much effort for us viewers and I wish you all the best for the future! ",Hazuchio,Hazuchio#0905
9/28/2022 15:16:42,Enna,"Thanks a lot for this past year! Before Ethyria I had not watched NijiEN but with your debut there were a lot of EU-friendly streams which made me check you all out and now I'm a fan of not only you and Ethyria, but the whole NijiEN. I love your humor (mine's equally dark), your content and your voice. Can't wait to see what's in store for this coming year! Happy Anniversary!",Norenche,Norenche#9328
9/28/2022 19:15:08,Nina,Thank you for everything and congratulation for your first year! From begining to end of this year I'm glad to have followed you and everyone else! Big love.,Energy Niki,FEnergyN#2198
9/28/2022 21:22:49,Enna,"Happy Anniversary to you and the rest of Ethyria! It's hard to believe that a whole year has already passed. Just where did the time go…? Feels like many things only happened a month ago, rather than a whole year. Regardless, here's to hoping for many more years to go! 🥰🙏🎉",Elodie,Elodie#0504
9/28/2022 21:39:26,Enna,Thank you Enna our lovely songbird for being apart of Nijisanji EN! I really enjoy all of your videos and your voice is so angelic! Happy 1 year anniversary!!!!,Astoria,émo#8949
9/28/2022 21:48:20,Enna,I got back into the VTuber rabbit hole because of your sense of humour and amazing singing because it always makes me laugh and helps me power through the bad times so I hope you know that your content helps a lot of people. Stay true to yourself and happy anniversary to all the Ethyria livers! :),Crumbs,Crumbs#8620
9/28/2022 22:10:59,Enna,"Congratulations on your 1 year anniversary! I can’t believe so much time has already passed. It’s been tons of fun getting to know you since last year, and you’ve been an inspiration to me and many others! Hope you’ve enjoyed this past year, and I look forward to even more!",Myrrh,Myrrh#2232
9/28/2022 22:52:54,Enna,Congratulations on the 1 year Enna! Your streams are always super fun to watch and you're always working super hard for us peeps. I've only started watching recently but the community here is awesome too.  Here's to many more fun times!,Zingly,Zingly#4619
9/28/2022 23:01:55,Millie,Hi Millie! Congratulations on the 1 year! You're always so full of energy and have a ton of unique and creative streams! It's also very inspiring to hear about everything you do for the community. Cheers!,Zingly,Zingly#4619
9/28/2022 23:08:59,Enna,"Halou Enna, I like your content a lot. Each stream I would either laugh at or relate to you in a different way. Thank you for being who you are, and please take good care of yourself and keep up the good work, my kami-oshi!! ",Mana,ManaOG3#7589
9/28/2022 23:51:52,Enna,"Congratss on this anniversary!! Thank God I know Nijisanji from Ethyria and get attached to your streams Enna! Your cute, funny and creative way of streaming somehow makes my life more enjoyable. I usually just lurking around cuz I'm hella shy and thinking too much about others perspective but still I can express myself by drawing lots of your fanarts until now and that's my way of showing how I adore you soooo much. Last from me, hope you have a happy, awesome and peaceful life onwards!!  ",Momojii,Momojii#1601
9/28/2022 23:59:29,Enna,"Thank you for being my inspiration this year Enna! I was at my worst after the pandemic lockdown. Discovering your angelic voice, listening to your struggles in life, and witnessing how far you come have really motivated me to get my life together. You really meant a lot to me",SleepyPudding,MeeMo🐑#0394
9/29/2022 10:27:14,Enna,"Congrats on the 1 year Anniversary with Ethyria Enna. It's been such an amazing year with all of you where you bring endless joy and laughter into my life. Not only does you have an incredible voice, but it's always endless fun with zatsu and chat. I'm so proud to be an Aloupeep and so glad to have found you and call you as my oshi. ❤️ ",Zhumingz,Zhumingz#6486
9/29/2022 13:01:56,Nina,"Hi Mom! Hope you end up reading this, you really make my day and have always made me smile",Average Ninaur Fan,Gunsemi Loveglock#6545
9/29/2022 15:45:24,Enna,"Hey Enna!
Congrats on your and Ethyria's one year anniversary!
One year passed so quickly and I see myself keep returning and rewatching the Higurashi concert every once in a while.
I hope you can enjoy more years being in NijiEN.",kalmen,kalmen#5434
9/30/2022 3:54:06,Enna,"Hey Enna, thank you for a whole year of entertainment, Ethyria definitely made NIjiEn more unhinged. Hopes to many more to come!",ReF,Ref#9762
9/30/2022 3:59:19,Enna,Happy One Year Anniversary Enna Alouette ٩(ˊᗜˋ*)و ♡ Hope you eat and stay well! Thank you for your hardwork,Matahari,Matahari#8117
9/30/2022 4:21:23,Reimu,"OhaReimu!! I've started watching your streams recently and they bring so much joy! Seeing you collab with other Ethyria/niji members is always fun to watch. My friends and I are going to cos nijisanji streamers for an event in Malaysia, and I'm going to cosplay you! hope this message gives you just a lil bit of serotonin :D",Random Arts,Random Arts#9678
9/30/2022 4:39:33,Enna,"Happy one year anniversary Enna!!!
I want you to know that your sense of humor is beyond funny, every time I watch your streams my day gets instantly better!! I've even started saying f***ing B***h more often because of you lol. thank you for an eventful year and to many more in the future!!  ",Moonlight,Moonlight#6431
9/30/2022 4:48:21,Millie,"Happy one year anniversary Millie!!
I love watching your streams and seeing how creative and unfiltered you can be, I've lost count of how many times I burst out laughing at the things you do and the way you interact with the other members!! Your stream helped me keep my calm when I ran into a difficult situation a while back and for that I'm very grateful to you. Happy anniversary and to many more in the future!!",Moonlight,Moonlight#6431
9/30/2022 7:37:40,Millie,I have not know peace since listening to you Marshall Maximizer cover. YOU'RE VERY AWESOME,CloudCat,CloudCat#9872
9/30/2022 7:38:56,Enna,You are the sweetest lady in the world miss Enna!!,CloudCat,CloudCat#9872
9/30/2022 7:40:17,Nina,You're so fantastic Mama Nina! You really enocurage me to do my best like you do!!,CloudCat,CloudCat#9872
9/30/2022 7:41:59,Reimu,Reimu you are literally the sweetest and most adorable ghost i have ever had the pleasure of seeing! It would be an honour for me to see you continue haunting into eternity. (I hope that wasnt too weird),CloudCat,CloudCat#9872
9/30/2022 12:33:57,Nina,Nina thank you so so much for being a comfort streamer ! I appreciate everything you do! Love you so much sweetheart!,Ohmybillnye,Gwen#9815
9/30/2022 22:57:24,Millie,"Congratulations on 1 whole year to Ethyria! Thank you for all your hard work this past year and for being yourself, Millie! I honestly wouldn't have known about Ethyria or Nijisanji if it wasn't for you. Yup, you were the liver that sent me into the Vtuber rabbit hole and I wouldn't have it any other way. My favorite streams of yours has to be the Undating Game 1 & 2, I rewatch them whenever I want a good laugh. I think the the clip that got me to watch you was your Phasmo collab with Oliver, Siska and Layla towards the end of the stream and the rest is history. Thank you again for the wonderful year Millie! Laudant Stolam 🙏",lordmediator ,lordmediator#8009
9/30/2022 23:04:41,Nina,"Congrats to 1 whole year! Thank you Nina for all the hard work you put into streaming and talking to us. As someone who is also lazy, I relate to a lot of the things you say, along with the love for wine. I also admire how you help carry on conversations with everyone, especially when you were with Nagao in his English talk. I loved how you both were enjoying your talk so much you lost track of time. Keep being you, Nina and hope you get to meet and talk to a lot more people that will love talking to you just as much! ",lordmediator ,lordmediator#8009
9/30/2022 23:09:49,Enna,"Congrats to 1 whole year in NijiEN! Thank you for all your hard work and effort into putting yourself out there and for all the dark humor jokes that honestly make me snort. I'm glad you got the job you wanted and have a job you also enjoy doing, and get to do it with so many good people. Thank you again for being you, showing your unhinged side, and for so much else! Here's to many more unhinged fun moments in the coming months and years!",lordmediator ,lordmediator#8009
9/30/2022 23:15:25,Reimu,"Congrats to 1 whole year for Ethyria! Thank you for all the time and work you put into streaming, Reimu! I think the first clip I watched of you when I was still getting into vtubers and NijiEN was your Jump King stream and a certain voice demon joined. I loved your banter and your witty jokes and I looooove that with your interactions with everyone else. I think I replayed that clip a few times because I for the life of me couldn't stop laughing. Thank you again for the wonderful year and keep being you, Reimu!",lordmediator ,lordmediator#8009
10/1/2022 2:50:50,Enna,"It's been 1 year since you came into our lives, I can't believe how much impact you ended up having in mine, I was not expecting that at all! I'm so happy you took the chance in the auditions because now you are here with us, I can't imagine a life without you, Happy Anniversary!",Miguel Macias,Mike6895#1981
10/1/2022 8:39:49,Nina,"I'm still not sure how I got lucky enough to end up in your community...a year in, I think the only thing I'd change is going back and setting an alarm so I wake up in time for your debut! Thank you for creating such a wonderful space, and t hank you for being you! <3",Cloverlea,Cloverlea [47]#7905
10/1/2022 13:32:25,Millie,"Hi Millie! Congratulations on 1 year. I found you through a clip of you cooking your hoboyaki, and thought yeah, seems like someone I want to watch. So thanks for always being funny and entertaining. Always looking forward to what shenanigans you'll do next.",ryd,ryd#8482
10/1/2022 13:56:25,Enna,"Hi Enna! Congratulations on 1 year! I found you via finding nijiEN, but the first full vod I watched was the higurashi concert, which is amazing btw, so it was pretty wild when I saw you unhinged on stream. Always looking forward to the projects and streams you do next!",ryd,ryd#8482
10/1/2022 13:59:05,Reimu,"Congratulations on 1 year Reimu! Just a lurker here, I've started watching you a lot recently, but I love watching your streams even if i'm scared shitless during the horror game streams. Always looking forward to what you'll do next.",ryd,ryd#8482
10/1/2022 17:39:48,Enna,"Hai enna, i just wanted to say that your streams have always been keeping me sane in this yearlong journey. I never expected to get into vtubers but your personality reeled me in. Keep being yourself and may you hopefully achieve all your dreams in life.",HanHan,ShariaLene#9591
10/1/2022 18:50:34,Reimu,"Heya Señorita Fantasma, we already have one year? dayum time flies sometimes am I right? Ok in a more serious note, look Reimu, from the bottom of my heart, I really wish you the very best, I've been around with you from the beginning, and I know that you're really struggling with some life stuff, we all do, and I can't keep it under my head how the **** you manage to do all that work and also stream, srly I wish I could be your ""student"" in life at some point, I really need to learn a lot from you gurl, so following that I congratulate you, and the girls for one year, keep them coming cause I ain't stopping supporting you any time Soon, so gl amiga, recuerda hay gente que reza por tu felicidad, sigue adelante! ",Huruz,Huruz#7067
10/1/2022 19:26:15,Reimu,"Hewwo Weimu, thank you for everything! I hereby send energy and vibes PARA A MELHOR LATINA DE NIJISANJI! Continue fazendo o que faz de melhor! O Brasil te ama <3",Lumier Luodne,Lumier Luodne#7975
10/1/2022 21:14:53,Enna,"Hi Enna!! I hope your day is becoming better and better! Please accept our most sincere wishes for your well being here! 
I hope you are able to find peace when in need of rest and strength when pushing forward, strongest birb of Niji!",Lumier Luodne,Lumier Luodne#7975
10/2/2022 1:40:42,Enna,"Enna! Happy 1 year anniversary!! Watching your streams have made my life brighter everyday. I love watching your streams, they're comfy but also filled with very human emotions. OtsuEnna!",RaveY,RaveY#6103
10/2/2022 13:09:10,Millie,Congratulations on ethyria's 1 year anniversary Millie 🎉🎉 thank you so much for always making me laugh with all your streams you always bring a smile to my face🤗 your one of the person why I started supporting you and your group 🤗💞💞 hope to see you and others grew more congrats again 💖😙😙,Frap,𖣔Frappuccino𖣔#2968
10/2/2022 13:12:29,Nina,Congrats on Ethyria's 1 year anniversary Nina really thank you for cheering me up with your streams really love them and I always tried to watch all  of your streams and your one of the the reason why I support you and your group 🤗💞 keep it up and I will gladly watch you guys achieve more milestones 😙😙,Frap,𖣔Frappuccino𖣔#2968
10/2/2022 13:14:51,Enna,Thank you for making me smile Enna :] Watching you has always made my day and I love your sarcasm and sense of humor. I hope for only the best of things in your future and happy 1 year anniversary!,Mel_l,Mel_l#8103
10/2/2022 13:19:30,Enna,Happy Anniversary Enna~! I may not have been with you since you started like the other aloupeeps but I want you to know that you influenced me just as much! In a good way of course~! Hoping for more anniversaries to come~!!! ,Sola,Sola#3355
10/2/2022 14:39:32,Enna,Hi Enna! I really hope you like the Connecting MV! We worked so hard on it and we truly believe you connect everyone around the world. We all see how hard you work but we hope you can see how much we appreciate you for it. Thank you for connecting us with your songs and stories!,Stelli'a,Stelli'a#3749
10/2/2022 16:58:43,Millie,Hey Millie Thanks for all the great moments since your debut! Your creative streams are hilarious to watch! Watching you grow and learn your own style of streaming since debut has been a fun journey! Thanks for everything and I’ll keep supporting you in whatever you do!,Bionic608,Bionic608#8218
10/2/2022 17:26:09,Enna,Hey Enna! Thanks for brightening my mornings! Watching you since debut has been hilarious. From the original Lucius streams to the more recent soma streams you’ve been fun to watch. Thanks for being my oshi and thanks for everything! I’ll keep supporting you in all that you do! ,Bionic608,Bionic608#8218
